Location,Borough,Town,OS,Postalcode,location,point,latitude,longitude
Southfields,Wandsworth,LONDON,TQ255735,SW18,"Wandsworth, London, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607, 0.0)",51.4570271,-0.1932607
Southfields,Wandsworth,LONDON,TQ255735,SW19,"Wandsworth, London, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607, 0.0)",51.4570271,-0.1932607
Southgate,Enfield,LONDON,TQ296942,N14,"Enfield, London, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175, 0.0)",51.6520851,-0.0810175
Spitalfields,Tower Hamlets,LONDON,TQ335815,E1,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
St James's,Westminster,LONDON,TQ295805,SW1,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
St Giles,Camden,LONDON,TQ305815,WC2,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
St Johns,Lewisham,LONDON,TQ375765,SE4,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom","(51.4624325, -0.0101331, 0.0)",51.4624325,-0.0101331
St John's Wood,Westminster,LONDON,TQ265835,NW8,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
St Luke's,Islington,LONDON,TQ324824,EC1,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
St Pancras,Camden,LONDON,TQ301825,WC1,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
Stamford Hill,Hackney,LONDON,TQ335875,N15,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Stamford Hill,Hackney,LONDON,TQ335875,N16,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Stepney,Tower Hamlets,LONDON,TQ355814,E1,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Stockwell,Lambeth,LONDON,TQ305755,SW8,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Stockwell,Lambeth,LONDON,TQ305755,SW9,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Stoke Newington,Hackney,LONDON,TQ335865,N16,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Stonebridge,Brent,LONDON,TQ203839,NW10,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Stratford,Newham,LONDON,TQ385845,E15,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Streatham,Lambeth,LONDON,TQ305715,SW16,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Stroud Green,Haringey,LONDON,TQ311881,N4,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Surrey Quays,Southwark,LONDON,TQ356789,SE16,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Swiss Cottage,Camden,LONDON,TQ266842,NW3,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
"Sydenham (also Lower Sydenham, Upper Sydenham)","Lewisham, Bromley",LONDON,TQ352714,SE26,"Bromley Hill Gardens, Downham, London Borough of Lewisham, London, Greater London, England, United Kingdom","(51.41902495, 0.002584605519905689, 0.0)",51.41902495,0.002584606
Sydenham Hill,"Lewisham, Southwark",LONDON,TQ352714,SE21,"Lewisham Southwark College, Hatfields, Bankside, Southwark, London Borough of Southwark, London, Greater London, England, SE1 8LE, United Kingdom","(51.5029041, -0.10598456348964677, 0.0)",51.5029041,-0.105984563
Sydenham Hill,"Lewisham, Southwark",LONDON,TQ352714,SE26,"Lewisham Southwark College, Hatfields, Bankside, Southwark, London Borough of Southwark, London, Greater London, England, SE1 8LE, United Kingdom","(51.5029041, -0.10598456348964677, 0.0)",51.5029041,-0.105984563
Temple,"City, Westminster",LONDON,TQ311809,EC4,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Temple,"City, Westminster",LONDON,TQ311809,WC2,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Thamesmead,"Bexley, Greenwich","LONDON, ERITH",TQ475805,SE28,"Bexley Road, Avery Hill, Royal Borough of Greenwich, London, Greater London, England, SE9 2PR, United Kingdom","(51.4510531, 0.0790997, 0.0)",51.4510531,0.0790997
Thamesmead,"Bexley, Greenwich","LONDON, ERITH",TQ475805,SE2,"Bexley Road, Avery Hill, Royal Borough of Greenwich, London, Greater London, England, SE9 2PR, United Kingdom","(51.4510531, 0.0790997, 0.0)",51.4510531,0.0790997
Thamesmead,"Bexley, Greenwich","LONDON, ERITH",TQ475805,DA18,"Bexley Road, Avery Hill, Royal Borough of Greenwich, London, Greater London, England, SE9 2PR, United Kingdom","(51.4510531, 0.0790997, 0.0)",51.4510531,0.0790997
Tooting,Wandsworth,LONDON,TQ275715,SW17,"Wandsworth, London, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607, 0.0)",51.4570271,-0.1932607
Tooting Bec,Wandsworth,LONDON,TQ275715,SW17,"Wandsworth, London, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607, 0.0)",51.4570271,-0.1932607
Tottenham,Haringey,LONDON,TQ335905,N15,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Tottenham,Haringey,LONDON,TQ335905,N17,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Tottenham Green,Haringey,LONDON,TQ337892,N15,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Tottenham Hale,Haringey,LONDON,TQ345895,N15,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Tottenham Hale,Haringey,LONDON,TQ345895,N17,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Totteridge,Barnet,LONDON,TQ245945,N20,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Tower Hill,Tower Hamlets,LONDON,TQ333806,EC3,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Tufnell Park,"Islington, Camden",LONDON,TQ295855,N7,"Camden Road Open Space, Holloway, London Borough of Islington, London, Greater London, England, United Kingdom","(51.55523945, -0.11809731407678245, 0.0)",51.55523945,-0.118097314
Tufnell Park,"Islington, Camden",LONDON,TQ295855,N19,"Camden Road Open Space, Holloway, London Borough of Islington, London, Greater London, England, United Kingdom","(51.55523945, -0.11809731407678245, 0.0)",51.55523945,-0.118097314
Tulse Hill,Lambeth,LONDON,TQ315735,SE24,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Tulse Hill,Lambeth,LONDON,TQ315735,SE27,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Turnpike Lane,Haringey,LONDON,TQ305905,N8,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Upper Clapton,Hackney,LONDON,TQ345875,E5,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
Upper Holloway,Islington,LONDON,TQ297867,N19,"Islington, London, Greater London, England, N1, United Kingdom","(51.5384287, -0.0999051, 0.0)",51.5384287,-0.0999051
Upper Norwood,Croydon,LONDON,TQ329707,SE19,"Croydon, London, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957, 0.0)",51.3713049,-0.101957
Upper Walthamstow,Waltham Forest,LONDON,TQ385895,E17,"The Forest, Upper Walthamstow, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","(51.5851424, 0.009494, 0.0)",51.5851424,0.009494
Upton Park,Newham,LONDON,TQ405837,E6,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Upton Park,Newham,LONDON,TQ405837,E13,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
Vauxhall,Lambeth,LONDON,TQ305785,SW8,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Walthamstow,Waltham Forest,LONDON,TQ375865,E17,"The Forest, Upper Walthamstow, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","(51.5851424, 0.009494, 0.0)",51.5851424,0.009494
Walthamstow Village,Waltham Forest,LONDON,TQ385895,E17,"The Forest, Upper Walthamstow, London Borough of Waltham Forest, London, Greater London, England, E17, United Kingdom","(51.5851424, 0.009494, 0.0)",51.5851424,0.009494
Walworth,Southwark,LONDON,TQ325785,SE17,"Southwark, London Borough of Southwark, London, Greater London, England, SE1 0QB, United Kingdom","(51.5029222, -0.103458, 0.0)",51.5029222,-0.103458
Wandsworth,Wandsworth,LONDON,TQ255755,SW18,"Wandsworth, London, Greater London, England, SW18 1UJ, United Kingdom","(51.4570271, -0.1932607, 0.0)",51.4570271,-0.1932607
Wanstead,Redbridge,LONDON,TQ405885,E11,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097, 0.0)",51.5763203,0.0454097
Wapping,Tower Hamlets,LONDON,TQ345805,E1,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Well Hall,Greenwich,LONDON,TQ425751,SE9,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
West Brompton,Kensington and Chelsea,LONDON,TQ253779,SW10,"Chelsea, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW3 5UA, United Kingdom","(51.4875167, -0.1687007, 0.0)",51.4875167,-0.1687007
West Ealing,Ealing,LONDON,TQ153802,W13,"Ealing, London, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952, 0.0)",51.5126553,-0.3051952
West Green,Haringey,LONDON,TQ324892,N15,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
West Hackney,Hackney,LONDON,TQ340865,N16,"Hackney, London, Greater London, England, E9 6QW, United Kingdom","(51.5432402, -0.0493621, 0.0)",51.5432402,-0.0493621
West Ham,Newham,LONDON,TQ405837,E13,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
West Ham,Newham,LONDON,TQ405837,E15,"London Borough of Newham, London, Greater London, England, United Kingdom","(51.52999955, 0.02931796029382208, 0.0)",51.52999955,0.02931796
West Hampstead,Camden,LONDON,TQ255855,NW6,"Camden, Camden County, New Jersey, United States","(39.9448402, -75.1198911, 0.0)",39.9448402,-75.1198911
West Heath,Bexley,LONDON,TQ475775,SE2,"Bexley, Franklin County, Ohio, 43209, United States","(39.9692378, -82.936864, 0.0)",39.9692378,-82.936864
West Hendon,Barnet,LONDON,TQ215885,NW9,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
West Kensington,Hammersmith and Fulham,LONDON,TQ246783,W14,"Hammersmith, London, Greater London, England, W6 9YA, United Kingdom","(51.4920377, -0.2236401, 0.0)",51.4920377,-0.2236401
West Norwood,Lambeth,LONDON,TQ325715,SE27,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom","(51.5013012, -0.117287, 0.0)",51.5013012,-0.117287
Westcombe Park,Greenwich,LONDON,TQ402780,SE3,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Westminster,Westminster,LONDON,TQ295795,SW1,"Westminster, Millbank, City of Westminster, London, Greater London, England, SW1P 3JX, United Kingdom","(51.5004439, -0.1265398, 0.0)",51.5004439,-0.1265398
Whetstone,Barnet,LONDON,TQ265935,N20,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
White City,Hammersmith and Fulham,LONDON,TQ233807,W12,"Hammersmith, London, Greater London, England, W6 9YA, United Kingdom","(51.4920377, -0.2236401, 0.0)",51.4920377,-0.2236401
Whitechapel,Tower Hamlets,LONDON,TQ335815,E1,"Tower Hamlets, Dover, Kent, South East England, England, CT17 0BH, United Kingdom","(51.1288633, 1.2986686, 0.0)",51.1288633,1.2986686
Willesden,Brent,LONDON,TQ227846,NW10,"Brent, Bibb County, Alabama, 35034, United States","(32.9373463, -87.1647184, 0.0)",32.9373463,-87.1647184
Wimbledon,Merton,LONDON,TQ239709,SW19,"London Borough of Merton, London, Greater London, England, United Kingdom","(51.41086985, -0.18809708858824303, 0.0)",51.41086985,-0.188097089
Wimbledon,Merton,LONDON,TQ239709,SW20,"London Borough of Merton, London, Greater London, England, United Kingdom","(51.41086985, -0.18809708858824303, 0.0)",51.41086985,-0.188097089
Winchmore Hill,Enfield,LONDON,TQ315945,N21,"Enfield, London, Greater London, England, EN2 6LD, United Kingdom","(51.6520851, -0.0810175, 0.0)",51.6520851,-0.0810175
Wood Green,Haringey,LONDON,TQ305905,N22,"London Borough of Haringey, London, Greater London, England, United Kingdom","(51.587929849999995, -0.10541010599099046, 0.0)",51.58792985,-0.105410106
Woodford,Redbridge,LONDON,TQ405915,IG8,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097, 0.0)",51.5763203,0.0454097
Woodford,Redbridge,LONDON,TQ405915,E18,"Redbridge, Eastern Avenue, Redbridge, London Borough of Redbridge, London, Greater London, England, IG4 5DQ, United Kingdom","(51.5763203, 0.0454097, 0.0)",51.5763203,0.0454097
Woodford Green,"Redbridge, Waltham Forest","LONDON, WOODFORD GREEN",TQ405915,IG8,"Waltham Road, Woodford, London Borough of Redbridge, London, Greater London, England, IG8 8DP, United Kingdom","(51.6081792, 0.0526336, 0.0)",51.6081792,0.0526336
Woodside Park,Barnet,LONDON,TQ256925,N12,"Chipping Barnet, London, Greater London, England, EN5 5SB, United Kingdom","(51.65309, -0.2002261, 0.0)",51.65309,-0.2002261
Woolwich,Greenwich,LONDON,TQ435795,SE18,"Greenwich, London, Greater London, England, SE10 9HF, United Kingdom","(51.4820845, -0.0045417, 0.0)",51.4820845,-0.0045417
Wormwood Scrubs,Hammersmith and Fulham,LONDON,TQ225815,W12,"Hammersmith, London, Greater London, England, W6 9YA, United Kingdom","(51.4920377, -0.2236401, 0.0)",51.4920377,-0.2236401
